Pos;artist;title;Total;country
24;Axwell /\ Ingrosso ;More Than You Know;9800155;FIN
25;Portion Boys ;Karjala Takas;9457634;FIN
1;Ed Sheeran ;Shape of You;60519140;fra
2;Niska ;Réseaux;43485870;fra
3;Damso ;Θ. Macarena;41011686;fra
4;Kalash ;Mwaka Moon;40604738;fra
5;Drake ;One Dance;38871307;fra
6;Vald ;Désaccordé;33599744;fra
7;Niska ;Salé;31886550;fra
8;Lartiste ;Mafiosa;31329839;fra
9;Camila Cabello ;Havana;29876962;fra
10;Post Malone ;rockstar;28945437;fra
11;Petit Biscuit ;Sunset Lover;28816851;fra
12;PNL ;Jusqu'au dernier gramme;28783845;fra
13;Damso ;Ε. Signaler;28619677;fra
14;PNL ;Onizuka;27956616;fra
15;Drake ;God's Plan;27342910;fra
16;Siboy ;Mobali;27305916;fra
17;Major Lazer ;Lean On;27093627;fra
18;Ninho ;De l'autre côté;26887946;fra
19;PNL ;Bené;26416882;fra
20;Niska ;Tuba Life;26107057;fra
21;Dadju ;Reine;25918887;fra
22;Ninho ;Mamacita;25677285;fra
23;Aya Nakamura ;Djadja;25660078;fra
24;Sia ;Cheap Thrills;25641443;fra
25;Damso ;Γ. Mosaïque solitaire;25174375;fra
1;Ed Sheeran ;Shape of You;120803974;DEU
2;Bausa ;Was Du Liebe nennst;98015116;DEU
3;Bonez MC ;Ohne mein Team;89532944;DEU
4;Drake ;One Dance;80601053;DEU
5;Post Malone ;rockstar;79558620;DEU
6;Axwell /\ Ingrosso ;More Than You Know;75471127;DEU
7;French Montana ;Unforgettable;68280658;DEU
8;Camila Cabello ;Havana;68271967;DEU
9;Bonez MC ;Palmen aus Plastik;65155292;DEU
10;The Chainsmokers ;Don't Let Me Down;63580831;DEU
11;Imagine Dragons ;Thunder;63061631;DEU
12;Alan Walker ;Faded;62141220;DEU
13;Major Lazer ;Lean On;59334162;DEU
14;The Chainsmokers ;Closer;56246708;DEU
15;Luis Fonsi ;Despacito ;55090594;DEU
16;Major Lazer ;Light It Up;55025986;DEU
17;Nimo ;Heute mit mir;53408647;DEU
18;Dennis Lloyd ;Nevermind;53354238;DEU
19;Jason Derulo ;Swalla;53242994;DEU
20;RAF Camora ;Primo;52749913;DEU
21;Robin Schulz ;Sugar;51800953;DEU
22;Martin Jensen ;Solo Dance;51724510;DEU
23;Dynoro ;In My Mind;51096989;DEU
24;Capital Bra ;Neymar;50472481;DEU
25;Mike Posner ;I Took A Pill In Ibiza ;50414575;DEU
1;Ed Sheeran ;Shape of You;2229056;GRC
2;Post Malone ;rockstar;1909516;GRC
3;Drake ;One Dance;1649829;GRC
4;Camila Cabello ;Havana;1546637;GRC
5;The Weeknd ;Starboy;1468148;GRC
6;Dua Lipa ;New Rules;1399188;GRC
7;French Montana ;Unforgettable;1336243;GRC
8;Drake ;God's Plan;1312409;GRC
9;Imagine Dragons ;Believer;1259666;GRC
10;Kendrick Lamar ;HUMBLE.;1224603;GRC
11;Major Lazer ;Lean On;1191792;GRC
12;Sia ;Cheap Thrills;1183351;GRC
13;Arctic Monkeys ;Do I Wanna Know?;1176893;GRC
14;Lil Uzi Vert ;XO TOUR Llif3;1133698;GRC
15;The Chainsmokers ;Don't Let Me Down;1129324;GRC
16;Ed Sheeran ;Thinking Out Loud;1126079;GRC
17;The Chainsmokers ;Closer;1105571;GRC
18;ZAYN ;Dusk Till Dawn;1045905;GRC
19;Imagine Dragons ;Thunder;1044830;GRC
20;Luis Fonsi ;Despacito ;1034222;GRC
21;Hozier ;Take Me To Church;1029911;GRC
22;Desiigner ;Panda;987533;GRC
23;Axwell /\ Ingrosso ;More Than You Know;981331;GRC
24;Charlie Puth ;Attention;96464;GRC
25;Shawn Mendes ;Treat You Better;950807;GRC
1;Danny Ocean ;Me Rehúso;5022565;GTM
2;Zion & Lennox ;Otra Vez;4316135;GTM
3;Piso 21 ;Déjala Que Vuelva;3527753;GTM
4;Wisin ;Escápate Conmigo;3498435;GTM
5;Ed Sheeran ;Shape of You;3084561;GTM
6;Luis Fonsi ;Despacito (Featuring Daddy Yankee);3061759;GTM
7;Anuel Aa ;Sola (Remix);3060794;GTM
8;Maluma ;Felices los 4;2967385;GTM
9;Chris Jeday ;Ahora Dice;2958915;GTM
10;Manuel Turizo ;Una Lady Como Tú;2907582;GTM
11;Natti Natasha ;Criminal;2872323;GTM
12;Drake ;One Dance;2683439;GTM
13;Wolfine ;Bella;2617238;GTM
14;CNCO ;Reggaetón Lento (Bailemos);2615907;GTM
15;Ozuna ;Se Preparó;2566299;GTM
16;Bad Bunny ;Sensualidad;2541793;GTM
17;Nio Garcia ;Te Boté ;2484701;GTM
18;The Chainsmokers ;Closer;2448781;GTM
19;Alex Sensation ;Que Va;2425820;GTM
20;Carlos Vives ;Robarte un Beso;2423685;GTM
21;DJ Snake ;Let Me Love You;2423596;GTM
22;Zion & Lennox ;La Player (Bandolera);2397361;GTM
23;Nicky Jam ;X;2387716;GTM
24;Reik ;Me Niego;2383832;GTM
25;J Balvin ;Sigo Extrañándote;2320909;GTM
1;Danny Ocean ;Me Rehúso;2965823;HND
2;Zion & Lennox ;Otra Vez;2542152;HND
3;Drake ;One Dance;2367953;HND
4;Ed Sheeran ;Shape of You;2280981;HND
5;Anuel Aa ;Sola (Remix);2130310;HND
6;Luis Fonsi ;Despacito (Featuring Daddy Yankee);2005309;HND
7;Wisin ;Escápate Conmigo;1861161;HND
8;Mike Posner ;I Took A Pill In Ibiza -  Seeb Remix;1841072;HND
9;The Chainsmokers ;Closer;1774306;HND
10;Chris Jeday ;Ahora Dice;1739119;HND
11;DJ Snake ;Let Me Love You;1723384;HND
12;Maluma ;Felices los 4;1699735;HND
13;Farruko ;Diles;1592144;HND
14;Ed Sheeran ;Thinking Out Loud;1513563;HND
15;Nio Garcia ;Te Boté ;1498797;HND
16;CNCO ;Reggaetón Lento (Bailemos);1490334;HND
17;Piso 21 ;Déjala Que Vuelva;1422206;HND
18;Natti Natasha ;Criminal;1413445;HND
19;J Balvin ;Sigo Extrañándote;1368766;HND
20;DJ Snake ;Middle;1366471;HND
21;Bad Bunny ;Sensualidad;1354023;HND
22;Chino & Nacho ;Andas En Mi Cabeza;1351655;HND
23;J Balvin ;Mi Gente;1345221;HND
24;Nicky Jam ;El Amante;1338110;HND
25;Maluma ;Borro Cassette;1320029;HND
1;Ed Sheeran ;Shape of You;6902114;HKG
2;The Chainsmokers ;Closer;6428023;HKG
3;The Chainsmokers ;Something Just Like This;5567899;HKG
4;Charlie Puth ;We Don't Talk Anymore;5470166;HKG
5;Alan Walker ;Faded;5011621;HKG
6;Dear Jane ;哪裡只得我共你;4905477;HKG
7;Ed Sheeran ;Photograph;4785590;HKG
8;Charmaine Fong ;分手總約在雨天;4507594;HKG
9;Ed Sheeran ;Thinking Out Loud;4472034;HKG
10;Supper Moment ;風箏;4200221;HKG
11;Camila Cabello ;Havana;4089494;HKG
12;ToNick ;長相廝守;4083583;HKG
13;Luis Fonsi ;Despacito ;3940545;HKG
14;Kwan Gor ;原來她不夠愛我;3817106;HKG
15;The Chainsmokers ;Don't Let Me Down;3767141;HKG
16;JW ;矛盾一生;3756441;HKG
17;Jason Chan ;你瞞我瞞;3646454;HKG
18;Dear Jane ;不許你注定一人;3640448;HKG
19;Supper Moment ;無盡;3625858;HKG
20;Charlie Puth ;Attention;3584784;HKG
21;Maroon 5 ;Sugar;3545649;HKG
22;Jay Chou ;告白氣球;3544708;HKG
23;Justin Bieber ;Love Yourself;3465265;HKG
24;Juno Mak ;耿耿於懷;3448200;HKG
25;Justin Lo ;命硬;3441356;HKG
1;Ed Sheeran ;Shape of You;4634746;HUN
2;Imagine Dragons ;Believer;3083397;HUN
3;Axwell /\ Ingrosso ;More Than You Know;2753343;HUN
4;Camila Cabello ;Havana;2732903;HUN
5;Imagine Dragons ;Thunder;2714205;HUN
6;Major Lazer ;Lean On;2514972;HUN
7;Dua Lipa ;New Rules;2477613;HUN
8;Kygo ;It Ain't Me;2414819;HUN
9;Post Malone ;rockstar;2384658;HUN
10;Sia ;Cheap Thrills;2367033;HUN
11;The Chainsmokers ;Don't Let Me Down;2284036;HUN
12;Twenty One Pilots ;Stressed Out;2250365;HUN
13;Mike Posner ;I Took A Pill In Ibiza ;2237898;HUN
14;The Chainsmokers ;Closer;2212650;HUN
15;The Chainsmokers ;Something Just Like This;2178458;HUN
16;Robin Schulz ;Sugar;2165469;HUN
17;Clean Bandit ;Rockabye;2162685;HUN
18;Alan Walker ;Faded;2149651;HUN
19;Major Lazer ;Light It Up;2017935;HUN
20;Luis Fonsi ;Despacito (Featuring Daddy Yankee);1961206;HUN
21;Clean Bandit ;Symphony;1912854;HUN
22;Marshmello ;FRIENDS;1889579;HUN
23;Luis Fonsi ;Despacito ;1852426;HUN
24;Robin Schulz ;OK;1825829;HUN
25;Shawn Mendes ;There's Nothing Holdin' Me Back;1800403;HUN
1;Luis Fonsi ;Despacito ;1997846;ISL
2;Ed Sheeran ;Shape of You;1936967;ISL
3;JóiPé ;B.O.B.A.;1791792;ISL
4;Aron Can ;Fullir Vasar;1712793;ISL
5;Post Malone ;rockstar;1590618;ISL
6;Chase ;Ég Vil Það;1557643;ISL
7;Kaleo ;Vor í Vaglaskógi;1475169;ISL
8;Birnir ;Já ég veit;1459628;ISL
9;JóiPé ;O Shit;1444151;ISL
10;Drake ;One Dance;1407139;ISL
11;Joey Christ ;Joey Cypher;1343337;ISL
12;Justin Bieber ;Love Yourself;1303623;ISL
13;JóiPé ;Í Átt Að Tunglinu;1227154;ISL
14;Justin Bieber ;Sorry;1187581;ISL
15;Floni ;Ungir Strákar ;1184696;ISL
16;Kendrick Lamar ;HUMBLE.;1177082;ISL
17;Emmsjé Gauti ;Þetta má;1152548;ISL
18;Emmsjé Gauti ;Silfurskotta;1140387;ISL
19;Ed Sheeran ;Perfect;1137928;ISL
20;Drake ;God's Plan;1115232;ISL
21;Birnir ;Út í geim;1085377;ISL
22;Floni ;Leika;1079759;ISL
23;James Arthur ;Say You Won't Let Go;1079715;ISL
24;French Montana ;Unforgettable;1045917;ISL
25;Lil Uzi Vert ;XO TOUR Llif3;1036019;ISL
1;Ed Sheeran ;Shape of You;27245352;IDN
2;Ed Sheeran ;Perfect;25425685;IDN
3;The Chainsmokers ;Closer;23296464;IDN
4;The Chainsmokers ;Something Just Like This;22558264;IDN
5;Camila Cabello ;Havana;22520185;IDN
6;Dua Lipa ;New Rules;21223942;IDN
7;James Arthur ;Say You Won't Let Go;21142465;IDN
8;Charlie Puth ;Attention;20631655;IDN
9;Payung Teduh ;Akad;20278276;IDN
10;Imagine Dragons ;Thunder;18967663;IDN
11;Bruno Mars ;That's What I Like;18704759;IDN
12;Jonas Blue ;Mama;17893057;IDN
13;Clean Bandit ;Symphony;17784695;IDN
14;Selena Gomez ;Wolves;17015143;IDN
15;Bruno Mars ;Versace On The Floor;16664798;IDN
16;Louis Tomlinson ;Back to You;16656700;IDN
17;ZAYN ;Dusk Till Dawn;16320151;IDN
18;Payung Teduh ;Untuk Perempuan Yang Sedang Di Pelukan;16084639;IDN
19;Rizky Febian ;Cukup Tau;15645626;IDN
20;Sam Smith ;Too Good At Goodbyes;15604471;IDN
21;DJ Khaled ;I'm the One;15565821;IDN
22;Maroon 5 ;What Lovers Do;15472182;IDN
23;Lauv ;I Like Me Better;15377791;IDN
24;Hailee Steinfeld ;Let Me Go;15256184;IDN
25;Luis Fonsi ;Despacito ;15245389;IDN
1;Ed Sheeran ;Shape of You;14574594;IRL
2;Drake ;One Dance;11296551;IRL
3;Luis Fonsi ;Despacito ;10262097;IRL
4;Dua Lipa ;New Rules;10257159;IRL
5;Ed Sheeran ;Castle on the Hill;8978430;IRL
6;Post Malone ;rockstar;8971857;IRL
7;French Montana ;Unforgettable;8873973;IRL
8;Camila Cabello ;Havana;8855606;IRL
9;James Arthur ;Say You Won't Let Go;8437683;IRL
10;Mike Posner ;I Took A Pill In Ibiza ;8216800;IRL
11;The Chainsmokers ;Closer;8125164;IRL
12;Drake ;God's Plan;8038465;IRL
13;Ed Sheeran ;Thinking Out Loud;7738769;IRL
14;Ed Sheeran ;Galway Girl;7649291;IRL
15;Clean Bandit ;Symphony;7508877;IRL
16;Calvin Harris ;One Kiss;7303841;IRL
17;Justin Bieber ;Sorry;7280262;IRL
18;Ed Sheeran ;Perfect;7231253;IRL
19;George Ezra ;Shotgun;6945962;IRL
20;Justin Bieber ;Love Yourself;6710261;IRL
21;Rudimental ;These Days;6663333;IRL
22;Jax Jones ;You Don't Know Me;6618465;IRL
23;Ed Sheeran ;Photograph;6517851;IRL
24;Kendrick Lamar ;HUMBLE.;6475916;IRL
25;The Chainsmokers ;Something Just Like This;6446691;IRL
1;Marshmello ;FRIENDS;876582;ISR
2;Omer Adam ;שני משוגעים;846023;ISR
3;Cardi B ;I Like It;84447;ISR
4;Omer Adam ;חברות שלך;837199;ISR
5;Drake ;God's Plan;830732;ISR
6;Maroon 5 ;Girls Like You;827065;ISR
7;Calvin Harris ;One Kiss;825304;ISR
8;Dua Lipa ;IDGAF;804767;ISR
9;Drake ;In My Feelings;748627;ISR
10;Drake ;Nice For What;687682;ISR
11;Juice WRLD ;Lucid Dreams;684331;ISR
12;Clean Bandit ;Solo;667066;ISR
13;Omer Adam ;אוהבת אותי אמיתי;659757;ISR
14;Netta ;Toy;619433;ISR
15;Khalid ;Love Lies;60756;ISR
16;Ariana Grande ;no tears left to cry;596298;ISR
17;Post Malone ;rockstar;586748;ISR
18;XXXTENTACION ;SAD!;578198;ISR
19;Post Malone ;Better Now;570952;ISR
20;Camila Cabello ;Havana;550436;ISR
21;BlocBoy JB ;Look Alive;550414;ISR
22;5 Seconds of Summer ;Youngblood;548139;ISR
23;Dua Lipa ;New Rules;523225;ISR
24;Post Malone ;Psycho;520825;ISR
25;Zedd ;The Middle;520243;ISR
1;Ed Sheeran ;Shape of You;50419008;ITA
2;Sfera Ebbasta ;Cupido;50225602;ITA
3;Capo Plaza ;Tesla;50217053;ITA
4;Coez ;La musica non c'è;49864214;ITA
5;Sfera Ebbasta ;Rockstar;40440340;ITA
6;Sfera Ebbasta ;Sciroppo;39675550;ITA
7;Gemitaiz ;Davide;39141981;ITA
8;Irama ;Nera;37959085;ITA
9;J-AX;Italiana;37497843;ITA
10;Sfera Ebbasta ;Tran Tran;37154271;ITA
11;Vegas Jones ;Malibu;37131231;ITA
12;Takagi & Ketra ;Amore e Capoeira;36813213;ITA
13;Charlie Charles ;Peace & Love;35657048;ITA
14;Ghali ;Cara Italia;34017107;ITA
15;J-AX;Senza Pagare VS T-Pain;32352977;ITA
16;Jake La Furia ;El Party;32108151;ITA
17;Sfera Ebbasta ;Ricchi x Sempre;31791892;ITA
18;Nicky Jam ;X;31755639;ITA
19;Luis Fonsi ;Despacito (Featuring Daddy Yankee);31719083;ITA
20;The Chainsmokers ;Something Just Like This;30539713;ITA
21;Shade ;Irraggiungibile;29683009;ITA
22;Rudimental ;These Days;28842049;ITA
23;Danny Ocean ;Me Rehúso;28803153;ITA
24;Ghali ;Habibi;28744719;ITA
25;Sfera Ebbasta ;Serpenti A Sonagli;28420942;ITA
1;Ed Sheeran ;Shape of You;9135277;JPN
2;DAOKO×米津玄師 ;打上花火;8722683;JPN
3;Shota Shimizu ;My Boo;6283033;JPN
4;ONE OK ROCK ;Wherever you are;6219305;JPN
5;AAA ;恋音と雨空;5813637;JPN
6;Superfly ;愛をこめて花束を;5738650;JPN
7;[Alexandros] ;ワタリドリ;5349379;JPN
8;Zedd ;Stay;5182842;JPN
9;Camila Cabello ;Havana;5158031;JPN
10;MONGOL800 ;小さな恋のうた;5096162;JPN
11;SEKAI NO OWARI ;RAIN;4993449;JPN
12;Selena Gomez ;Wolves;4771282;JPN
13;ONE OK ROCK ;Change;4719195;JPN
14;Dua Lipa ;New Rules;4702593;JPN
15;TWICE ;TT ;4682926;JPN
16;AAA ;さよならの前に;4634098;JPN
17;GReeeeN ;愛唄;4611829;JPN
18;The Chainsmokers ;Closer;4536760;JPN
19;GReeeeN ;キセキ;4299980;JPN
20;Shota Shimizu ;Kimiga Suki;4270709;JPN
21;Maroon 5 ;What Lovers Do;4070589;JPN
22;Zedd ;The Middle;3925712;JPN
23;Mrs. GREEN APPLE ;WanteD! WanteD!;3915356;JPN
24;Shota Shimizu ;Dream;3908503;JPN
25;ONE OK ROCK ;The Beginning;3886373;JPN
1;Post Malone ;rockstar;1261019;LVA
2;Ed Sheeran ;Shape of You;1195079;LVA
3;Major Lazer ;Lean On;947413;LVA
4;Kendrick Lamar ;HUMBLE.;921062;LVA
5;Imagine Dragons ;Thunder;892887;LVA
6;Drake ;One Dance;848831;LVA
7;Vance Joy ;Riptide;797879;LVA
8;Lil Uzi Vert ;XO TOUR Llif3;785635;LVA
9;Imagine Dragons ;Believer;774345;LVA
10;French Montana ;Unforgettable;748084;LVA
11;Post Malone ;Congratulations;726724;LVA
12;The Chainsmokers ;Don't Let Me Down;702872;LVA
13;Prāta Vētra ;Debesis iekrita tevī;692712;LVA
14;Camila Cabello ;Havana;686375;LVA
15;Twenty One Pilots ;Stressed Out;680468;LVA
16;Robin Schulz ;Sugar;679959;LVA
17;Ed Sheeran ;Thinking Out Loud;676976;LVA
18;Ed Sheeran ;Photograph;673085;LVA
19;MiyaGi & Эндшпиль ;I Got Love;671472;LVA
20;Portugal. The Man ;Feel It Still;666253;LVA
21;Dua Lipa ;New Rules;664776;LVA
22;Axwell /\ Ingrosso ;More Than You Know;663746;LVA
23;The Chainsmokers ;Closer;663014;LVA
24;The Chainsmokers ;Something Just Like This;657231;LVA
25;Hozier ;Take Me To Church;654856;LVA
1;Ed Sheeran ;Shape of You;1229721;LTU
2;Drake ;One Dance;994773;LTU
3;Post Malone ;rockstar;965194;LTU
4;Major Lazer ;Lean On;847439;LTU
5;Mike Posner ;I Took A Pill In Ibiza ;784738;LTU
6;Imagine Dragons ;Thunder;774016;LTU
7;Robin Schulz ;Sugar;758469;LTU
8;Hozier ;Take Me To Church;727524;LTU
9;Camila Cabello ;Havana;72225;LTU
10;Dua Lipa ;New Rules;71868;LTU
11;Imagine Dragons ;Believer;705856;LTU
12;The Weeknd ;Starboy;688247;LTU
13;The Chainsmokers ;Don't Let Me Down;687497;LTU
14;Jonas Blue ;Fast Car;671999;LTU
15;Kendrick Lamar ;HUMBLE.;669871;LTU
16;Portugal. The Man ;Feel It Still;661889;LTU
17;Sia ;Cheap Thrills;658625;LTU
18;The Chainsmokers ;Closer;640131;LTU
19;Twenty One Pilots ;Stressed Out;638917;LTU
20;Alan Walker ;Faded;632146;LTU
21;Axwell /\ Ingrosso ;More Than You Know;629696;LTU
22;French Montana ;Unforgettable;625492;LTU
23;Calvin Harris ;One Kiss;621126;LTU
24;Ed Sheeran ;Thinking Out Loud;60909;LTU
25;Zara Larsson ;Lush Life;603573;LTU
1;Ed Sheeran ;Shape of You;903264;LUX
2;Post Malone ;rockstar;636327;LUX
3;Drake ;One Dance;547628;LUX
4;French Montana ;Unforgettable;528819;LUX
5;Camila Cabello ;Havana;480054;LUX
6;Luis Fonsi ;Despacito (Featuring Daddy Yankee);471772;LUX
7;Drake ;God's Plan;452061;LUX
8;The Chainsmokers ;Something Just Like This;432003;LUX
9;Imagine Dragons ;Thunder;410979;LUX
10;Axwell /\ Ingrosso ;More Than You Know;40365;LUX
11;Dua Lipa ;New Rules;40111;LUX
12;Imagine Dragons ;Believer;385958;LUX
13;Luis Fonsi ;Despacito ;384975;LUX
14;The Chainsmokers ;Closer;375045;LUX
15;Future ;Mask Off;359739;LUX
16;Lil Uzi Vert ;XO TOUR Llif3;358998;LUX
17;Marshmello ;Silence;355199;LUX
18;J Balvin ;Mi Gente;352178;LUX
19;The Chainsmokers ;Don't Let Me Down;348961;LUX
20;Ed Sheeran ;Perfect;344402;LUX
21;James Arthur ;Say You Won't Let Go;343891;LUX
22;Kygo ;It Ain't Me;326647;LUX
23;Starley ;Call On Me ;322671;LUX
24;Sia ;Cheap Thrills;32212;LUX
25;DJ Snake ;Let Me Love You;321988;LUX
1;Ed Sheeran ;Shape of You;14660858;MYS
2;The Chainsmokers ;Closer;13376143;MYS
3;James Arthur ;Say You Won't Let Go;12914054;MYS
4;Ed Sheeran ;Photograph;12215085;MYS
5;Ed Sheeran ;Perfect;11928290;MYS
6;Alan Walker ;Faded;11799267;MYS
7;The Chainsmokers ;Something Just Like This;10738864;MYS
8;Camila Cabello ;Havana;9838485;MYS
9;Luis Fonsi ;Despacito ;9578131;MYS
10;Justin Bieber ;Love Yourself;9491488;MYS
11;Charlie Puth ;We Don't Talk Anymore;9401879;MYS
12;Charlie Puth ;Attention;9226145;MYS
13;Dua Lipa ;New Rules;8608554;MYS
14;Ed Sheeran ;Thinking Out Loud;8314278;MYS
15;ZAYN ;Dusk Till Dawn;8178999;MYS
16;The Chainsmokers ;Don't Let Me Down;8097889;MYS
17;DJ Snake ;Let Me Love You;7636122;MYS
18;ZAYN ;I Don’t Wanna Live Forever (Fifty Shades Darker);7341189;MYS
19;Meghan Trainor ;Like I'm Gonna Lose You;7273099;MYS
20;Selena Gomez ;Wolves;7250624;MYS
21;Martin Garrix ;Scared to Be Lonely;6925284;MYS
22;Bruno Mars ;That's What I Like;6916078;MYS
23;Maroon 5 ;What Lovers Do;6900125;MYS
24;Lauv ;I Like Me Better;6890165;MYS
25;Clean Bandit ;Symphony;6524525;MYS
1;Ed Sheeran ;Shape of You;993818;MLT
2;Post Malone ;rockstar;663666;MLT
3;The Chainsmokers ;Something Just Like This;606774;MLT
4;Drake ;One Dance;596829;MLT
5;Camila Cabello ;Havana;577759;MLT
6;Luis Fonsi ;Despacito ;565334;MLT
7;The Chainsmokers ;Closer;557713;MLT
8;Dua Lipa ;New Rules;556686;MLT
9;The Weeknd ;Starboy;516326;MLT
10;Mike Posner ;I Took A Pill In Ibiza ;510779;MLT
11;French Montana ;Unforgettable;504736;MLT
12;The Chainsmokers ;Don't Let Me Down;484121;MLT
13;Imagine Dragons ;Thunder;477975;MLT
14;James Arthur ;Say You Won't Let Go;468145;MLT
15;Drake ;God's Plan;45426;MLT
16;Sia ;Cheap Thrills;446954;MLT
17;Imagine Dragons ;Believer;446627;MLT
18;Ed Sheeran ;Thinking Out Loud;44023;MLT
19;Kygo ;It Ain't Me;433113;MLT
20;Major Lazer ;Lean On;432409;MLT
21;Ed Sheeran ;Perfect;42803;MLT
22;DJ Snake ;Let Me Love You;423721;MLT
23;Clean Bandit ;Symphony;423252;MLT
24;Alan Walker ;Faded;404401;MLT
25;ZAYN ;I Don’t Wanna Live Forever (Fifty Shades Darker);403603;MLT
1;Danny Ocean ;Me Rehúso;176461573;MEX
2;Maluma ;Felices los 4;126210909;MEX
3;Zion & Lennox ;Otra Vez;122549858;MEX
4;Ed Sheeran ;Shape of You;116201164;MEX
5;Luis Fonsi ;Despacito (Featuring Daddy Yankee);110514760;MEX
6;Wisin ;Escápate Conmigo;107926811;MEX
7;Manuel Turizo ;Una Lady Como Tú;107003258;MEX
8;Piso 21 ;Déjala Que Vuelva;106145804;MEX
9;Maluma ;Borro Cassette;106109643;MEX
10;Wolfine ;Bella;97215484;MEX
11;Natti Natasha ;Criminal;96705506;MEX
12;J Balvin ;Bonita;92808135;MEX
13;CNCO ;Reggaetón Lento (Bailemos);89556668;MEX
14;Sebastian Yatra ;Traicionera;88142426;MEX
15;Chris Jeday ;Ahora Dice;85998200;MEX
16;Ricky Martin ;Vente Pa' Ca;85534998;MEX
17;J Balvin ;Mi Gente;84318809;MEX
18;Shakira ;Chantaje;83411572;MEX
19;Drake ;One Dance;82236287;MEX
20;Ozuna ;Se Preparó;78735344;MEX
21;Maluma ;Corazón;78435470;MEX
22;León Larregui ;Locos;78240343;MEX
23;Reik ;Me Niego;78110185;MEX
24;Nicky Jam ;X;77615286;MEX
25;Piso 21 ;Me Llamas;75944721;MEX
1;Ed Sheeran ;Shape of You;68544234;NLD
2;Drake ;One Dance;46515231;NLD
3;Lil' Kleine ;Krantenwijk;45842828;NLD
4;James Arthur ;Say You Won't Let Go;40906588;NLD
5;Dua Lipa ;New Rules;36046682;NLD
6;Camila Cabello ;Havana;35846002;NLD
7;Broederliefde ;Jungle;34919056;NLD
8;Justin Bieber ;Love Yourself;34674646;NLD
9;Ed Sheeran ;Thinking Out Loud;34576925;NLD
10;Post Malone ;rockstar;33953717;NLD
11;Lil' Kleine ;Loterij;32808023;NLD
12;Justin Bieber ;Sorry;32657721;NLD
13;Boef ;Habiba;32267292;NLD
14;Mike Posner ;I Took A Pill In Ibiza ;32249151;NLD
15;Calvin Harris ;One Kiss;31837353;NLD
16;Drake ;God's Plan;31826860;NLD
17;Ronnie Flex ;Blijf Bij Mij;31480494;NLD
18;Ronnie Flex ;Come Again;31277591;NLD
19;Lil' Kleine ;Alleen;31055504;NLD
20;Kygo ;It Ain't Me;30475957;NLD
21;Ed Sheeran ;Perfect;30344175;NLD
22;SFB ;Lovely Body;30086243;NLD
23;Josylvio ;Catch Up;30054464;NLD
24;French Montana ;Unforgettable;29863418;NLD
25;Sevn Alias ;Patsergedrag;29728497;NLD
1;Ed Sheeran ;Shape of You;17442454;NZL
2;The Chainsmokers ;Closer;13427523;NZL
3;Drake ;One Dance;13394330;NZL
4;Post Malone ;rockstar;12700691;NZL
5;Ed Sheeran ;Thinking Out Loud;12641167;NZL
6;Kendrick Lamar ;HUMBLE.;11267804;NZL
7;Justin Bieber ;Sorry;10985143;NZL
8;James Arthur ;Say You Won't Let Go;10963302;NZL
9;Post Malone ;I Fall Apart;10605635;NZL
10;Luis Fonsi ;Despacito ;10370924;NZL
11;Camila Cabello ;Havana;10354413;NZL
12;Justin Bieber ;Love Yourself;10300817;NZL
13;Dua Lipa ;New Rules;9646392;NZL
14;Imagine Dragons ;Thunder;9589527;NZL
15;Major Lazer ;Cold Water;9386999;NZL
16;Khalid ;Young Dumb & Broke;9357706;NZL
17;Ed Sheeran ;Castle on the Hill;9348761;NZL
18;Ed Sheeran ;Perfect;9308056;NZL
19;Flume ;Never Be Like You;9255999;NZL
20;Marshmello ;Silence;9181053;NZL
21;The Weeknd ;Starboy;9071952;NZL
22;Drake ;God's Plan;9021308;NZL
23;Major Lazer ;Lean On;8861516;NZL
24;Post Malone ;Congratulations;8665882;NZL
25;Justin Timberlake ;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";8602616;NZL
1;Danny Ocean ;Me Rehúso;1185577;NIC
2;Ed Sheeran ;Shape of You;1051323;NIC
3;Drake ;One Dance;945069;NIC
4;Zion & Lennox ;Otra Vez;929039;NIC
5;Luis Fonsi ;Despacito (Featuring Daddy Yankee);844218;NIC
6;DJ Snake ;Middle;842634;NIC
7;Mike Posner ;I Took A Pill In Ibiza ;828421;NIC
8;The Chainsmokers ;Closer;816034;NIC
9;DJ Snake ;Let Me Love You;782208;NIC
10;Anuel Aa ;Sola (Remix);700107;NIC
11;Ed Sheeran ;Thinking Out Loud;697616;NIC
12;Wisin ;Escápate Conmigo;687663;NIC
13;Chris Jeday ;Ahora Dice;649985;NIC
14;Carlos Vives ;La Bicicleta;637866;NIC
15;Maluma ;Felices los 4;626944;NIC
16;J Balvin ;Mi Gente;611046;NIC
17;Chino & Nacho ;Andas En Mi Cabeza;610159;NIC
18;CNCO ;Reggaetón Lento (Bailemos);591457;NIC
19;Justin Bieber ;Sorry;589756;NIC
20;Carlos Vives ;Robarte un Beso;584459;NIC
21;Bad Bunny ;Sensualidad;58052;NIC
22;Ed Sheeran ;Photograph;577204;NIC
23;Piso 21 ;Déjala Que Vuelva;577116;NIC
24;Major Lazer ;Lean On;571108;NIC
25;The Chainsmokers ;Don't Let Me Down;562896;NIC
